lineID,site,year,rep,phenoValue
9,STBN_2011_CARI,2011,3,4167
20,STBN_2011_CARI,2011,1,1146
2,STBN_2011_CARI,2011,3,2083
3,STBN_2011_CARI,2011,3,2760
14,STBN_2011_CARI,2011,1,2063
8,STBN_2011_CARI,2011,1,3333
5,STBN_2011_CARI,2011,2,1250
21,STBN_2011_CARI,2011,3,4375
9,STBN_2011_CARI,2011,1,4167
16,STBN_2011_CARI,2011,2,313
19,STBN_2011_CARI,2011,1,1250
24,STBN_2011_CARI,2011,3,4375
11,STBN_2011_CARI,2011,3,5313
17,STBN_2011_CARI,2011,1,3125
8,STBN_2011_CARI,2011,2,4583
24,STBN_2011_CARI,2011,2,4583
22,STBN_2011_CARI,2011,3,5042
12,STBN_2011_CARI,2011,1,4063
6,STBN_2011_CARI,2011,1,1042
19,STBN_2011_CARI,2011,2,521
11,STBN_2011_CARI,2011,2,5417
9,STBN_2011_CARI,2011,3,3698
5,STBN_2011_CRRI,2011,2,1389
1,STBN_2011_CRRI,2011,2,NA
27,STBN_2011_CRRI,2011,3,1698
22,STBN_2011_CRRI,2011,3,2778
2,STBN_2011_CRRI,2011,2,1543
13,STBN_2011_CRRI,2011,2,1929
10,STBN_2011_CRRI,2011,1,1852
7,STBN_2011_CRRI,2011,1,1080
15,STBN_2011_CRRI,2011,2,1543
1,STBN_2011_CRRI,2011,1,NA
21,STBN_2011_CRRI,2011,1,NA
2,STBN_2011_CRRI,2011,3,1157
8,STBN_2011_CRRI,2011,2,NA
15,STBN_2011_CRRI,2011,3,1852
26,STBN_2011_CRRI,2011,3,2083
9,STBN_2011_CRRI,2011,1,1698
7,STBN_2011_CRRI,2011,3,694
7,STBN_2011_CRRI,2011,2,2392
27,STBN_2011_CRRI,2011,1,1389
10,STBN_2011_CRRI,2011,2,2392
19,STBN_2011_CRRI,2011,2,1543
5,STBN_2011_CRRI,2011,1,1389
9,STBN_2011_CRRI,2011,3,1698
20,STBN_2011_CRRI,2011,2,1080
21,STBN_2011_CRRI,2011,3,1312
17,STBN_2011_CRRI,2011,1,617
9,STBN_2011_CRRI,2011,2,2161
13,STBN_2011_CRRI,2011,3,1698
5,STBN_2011_CRRI,2011,3,1235
6,STBN_2011_CRRI,2011,1,1852
8,STBN_2011_CRRI,2011,3,NA
14,STBN_2011_CRRI,2011,2,772
24,STBN_2011_CRRI,2011,2,1389
22,STBN_2011_CRRI,2011,1,2346
20,STBN_2011_CRRI,2011,3,1389
20,STBN_2011_CRRI,2011,1,1157
6,STBN_2011_CRRI,2011,2,2083
10,STBN_2011_CRRI,2011,3,2006
26,STBN_2011_CRRI,2011,1,2623
26,STBN_2011_CRRI,2011,2,2701
3,STBN_2011_CRRI,2011,3,1698
12,STBN_2011_CRRI,2011,3,1080
11,STBN_2011_CRRI,2011,3,772
4,STBN_2011_CRRI,2011,2,2161
3,STBN_2011_CRRI,2011,2,1775
18,STBN_2011_CRRI,2011,1,1235
14,STBN_2011_CRRI,2011,1,540
25,STBN_2011_CRRI,2011,1,1543
16,STBN_2011_CRRI,2011,2,1543
24,STBN_2011_CRRI,2011,1,1157
17,STBN_2011_CRRI,2011,2,849
2,STBN_2011_CRRI,2011,1,1003
3,STBN_2011_CRRI,2011,1,1775
21,STBN_2011_CRRI,2011,2,NA
23,STBN_2011_CRRI,2011,2,1543
16,STBN_2011_CRRI,2011,1,1636
18,STBN_2011_CRRI,2011,3,1543
16,STBN_2011_CRRI,2011,3,2006
19,STBN_2011_CRRI,2011,1,1389
13,STBN_2011_CRRI,2011,1,1466
12,STBN_2011_CRRI,2011,1,1157
4,STBN_2011_CRRI,2011,3,1543
11,STBN_2011_CRRI,2011,2,1235
25,STBN_2011_CRRI,2011,3,1466
1,STBN_2011_CRRI,2011,3,NA
4,STBN_2011_CRRI,2011,1,1929
14,STBN_2011_CRRI,2011,3,1080
17,STBN_2011_CRRI,2011,3,432
27,STBN_2011_CRRI,2011,2,1651
18,STBN_2011_CRRI,2011,2,NA
15,STBN_2011_CRRI,2011,1,1543
23,STBN_2011_CRRI,2011,1,1574
8,STBN_2011_CRRI,2011,1,309
24,STBN_2011_CRRI,2011,3,NA
19,STBN_2011_CRRI,2011,3,1698
25,STBN_2011_CRRI,2011,2,1543
6,STBN_2011_CRRI,2011,3,2238
12,STBN_2011_CRRI,2011,2,772
23,STBN_2011_CRRI,2011,3,2006
11,STBN_2011_CRRI,2011,1,1019
22,STBN_2011_CRRI,2011,2,2701
6,STBN_2011_KLRS,2011,2,1028
4,STBN_2011_KLRS,2011,2,1879
9,STBN_2011_KLRS,2011,1,742
5,STBN_2011_KLRS,2011,2,912
13,STBN_2011_KLRS,2011,2,2900
19,STBN_2011_KLRS,2011,3,3990
